UserId,productid,Quantity,OrderDate
18075,12322648,1,01-04-2018
6820,12371370,1,01-04-2018
6820,12973004,1,01-04-2018
6820,12657560,1,01-04-2018
6820,11659914,1,01-04-2018
18075,12322648,1,01-04-2018
26784,12658110,1,01-04-2018
16920,11659532,1,01-04-2018
26784,12407108,1,01-04-2018
26784,11660062,1,01-04-2018
26784,12407166,1,01-04-2018
25510,11659666,1,01-04-2018
2364,11659826,1,01-04-2018
18167,12360458,1,01-04-2018
2364,11659826,1,01-04-2018
2364,11659826,1,01-04-2018
25740,11407272,1,01-04-2018
25740,12658034,1,01-04-2018
26784,12658532,1,01-04-2018
26784,11659704,1,01-04-2018
27659,12658150,1,01-04-2018
27659,12657614,1,01-04-2018
16605,12658510,1,01-04-2018
16605,12406986,1,01-04-2018
16605,12657638,1,01-04-2018
16605,12657642,1,01-04-2018
16605,12657644,1,01-04-2018
26784,12658532,1,01-04-2018
26784,11407102,1,01-04-2018
26784,11461020,1,01-04-2018
4312,11360858,1,01-04-2018
5349,12657592,1,01-04-2018
5349,12657646,1,01-04-2018
22730,12407650,1,01-04-2018
16236,11659734,1,01-04-2018
16236,12407624,1,01-04-2018
8915,11659604,1,01-04-2018
8915,11659602,1,01-04-2018
23447,11659004,1,01-04-2018
23447,12406882,1,01-04-2018
23447,12406874,1,01-04-2018
23447,11603836,1,01-04-2018
23447,12360384,1,01-04-2018
23447,12407276,1,01-04-2018
23447,12657758,1,01-04-2018
17503,12658674,1,01-04-2018
17503,12657656,1,01-04-2018
17503,12658096,1,01-04-2018
17503,12657364,1,01-04-2018
17503,12658122,1,01-04-2018
17503,12657646,1,01-04-2018
26784,11714670,1,01-04-2018
8370,11659814,1,01-04-2018
8370,12322648,1,01-04-2018
26784,11481082,1,01-04-2018
20546,12657596,1,01-04-2018
23295,11660024,1,01-04-2018
22701,11659604,1,01-04-2018
22701,12407708,1,01-04-2018
22701,12407770,1,01-04-2018
17517,12406998,1,01-04-2018
26784,12407132,1,01-04-2018
26784,12407176,1,01-04-2018
13456,11658998,1,01-04-2018
13456,11659034,1,01-04-2018
26784,12407158,1,01-04-2018
26784,12657762,1,01-04-2018
26784,12407010,1,01-04-2018
13456,11658998,1,01-04-2018
13456,11659034,1,01-04-2018
